"Series","Indicator.Name","value"
"SE.PRM.BQBR.1","Average score for Characteristics of Bureaucracy; where a score of 1 indicates low effectiveness and 5 indicates high effectiveness","3.753525"
"SE.PRM.BQBR.2","(Characteristics of Bureaucracy) average score for knowledge and skills","4.756684"
"SE.PRM.BQBR.3","(Characteristics of Bureaucracy) average score for work environment","3.690731"
"SE.PRM.BQBR.4","(Characteristics of Bureaucracy) average score for merit","3.825312"
"SE.PRM.BQBR.5","(Characteristics of Bureaucracy) average score for motivation and attitudes","3.498916"
"SE.PRM.CONT","Teacher Content Knowledge","2.97479"
"SE.PRM.CONT.1","(De Facto) Percent of teachers proficient in the subjects they teach","2.97479"
"SE.PRM.CONT.1.F","(De Facto) Percent of teachers proficient in the subjects they teach - Female","5.50424"
"SE.PRM.CONT.1.M","(De Facto) Percent of teachers proficient in the subjects they teach - Male","2.087407"
"SE.PRM.CONT.1.R","(De Facto) Percent of teachers proficient in the subjects they teach - Rural","7.812371"
"SE.PRM.CONT.1.U","(De Facto) Percent of teachers proficient in the subjects they teach - Urban","2.240309"
"SE.PRM.CONT.2","(De Facto) Percent of teachers proficient in the subject of language","0.08423683"
"SE.PRM.CONT.2.F","(De Facto) Percent of teachers proficient in the subject of language - Female","0"
"SE.PRM.CONT.2.M","(De Facto) Percent of teachers proficient in the subject of language - Male","0.101667"
"SE.PRM.CONT.2.R","(De Facto) Percent of teachers proficient in the subject of language - Rural","0.6680679"
"SE.PRM.CONT.2.U","(De Facto) Percent of teachers proficient in the subject of language - Urban","0"
"SE.PRM.CONT.3","(De Facto) Percent of teachers proficient in the subject of mathematics","6.461393"
"SE.PRM.CONT.3.F","(De Facto) Percent of teachers proficient in the subject of mathematics - Female","12.9815"
"SE.PRM.CONT.3.M","(De Facto) Percent of teachers proficient in the subject of mathematics - Male","4.494188"
"SE.PRM.CONT.3.R","(De Facto) Percent of teachers proficient in the subject of mathematics - Rural","12.59637"
"SE.PRM.CONT.3.U","(De Facto) Percent of teachers proficient in the subject of mathematics - Urban","5.539511"
"SE.PRM.EFFT","Teacher Presence","71.70126"
"SE.PRM.EFFT.1","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit","64.3028"
"SE.PRM.EFFT.1.F","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Female","58.88958"
"SE.PRM.EFFT.1.M","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Male","66.19812"
"SE.PRM.EFFT.1.R","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Rural","62.93028"
"SE.PRM.EFFT.1.U","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Urban","64.51159"
"SE.PRM.EFFT.2","(De Facto) Percent of teachers present in their schools during an announced visit","71.70126"
"SE.PRM.EFFT.2.F","(De Facto) Percent of teachers present in their schools during an announced visit - Female","67.17093"
"SE.PRM.EFFT.2.M","(De Facto) Percent of teachers present in their schools during an announced visit - Male","72.95739"
"SE.PRM.EFFT.2.R","(De Facto) Percent of teachers present in their schools during an announced visit - Rural","79.01462"
"SE.PRM.EFFT.2.U","(De Facto) Percent of teachers present in their schools during an announced visit - Urban","70.58871"
"SE.PRM.ILDR","Instructional Leadership","3.961106"
"SE.PRM.ILDR.1","(De Facto) Average score for the presence and quality of instructional leadership","3.961106"
"SE.PRM.ILDR.1.F","(De Facto) Average score for the presence and quality of instructional leadership - Female","3.412155"
"SE.PRM.ILDR.1.M","(De Facto) Average score for the presence and quality of instructional leadership - Male","3.99631"
"SE.PRM.ILDR.1.R","(De Facto) Average score for the presence and quality of instructional leadership - Rural","3.589505"
"SE.PRM.ILDR.1.U","(De Facto) Average score for the presence and quality of instructional leadership - Urban","4.016769"
"SE.PRM.ILDR.2","(De Facto) Percent of teachers reporting having had their class observed","87.50487"
"SE.PRM.ILDR.2.F","(De Facto) Percent of teachers reporting having had their class observed - Female","88.52166"
"SE.PRM.ILDR.2.M","(De Facto) Percent of teachers reporting having had their class observed - Male","87.48697"
"SE.PRM.ILDR.2.R","(De Facto) Percent of teachers reporting having had their class observed - Rural","80.59698"
"SE.PRM.ILDR.2.U","(De Facto) Percent of teachers reporting having had their class observed - Urban","88.53961"
"SE.PRM.ILDR.3","(De Facto) Percent of teachers reporting that the classroom observation happened recently","86.8423"
"SE.PRM.ILDR.3.F","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Female","81.61012"
"SE.PRM.ILDR.3.M","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Male","87.22131"
"SE.PRM.ILDR.3.R","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Rural","80.01782"
"SE.PRM.ILDR.3.U","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Urban","87.86455"
"SE.PRM.ILDR.4","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation","66.38729"
"SE.PRM.ILDR.4.F","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Female","55.70383"
"SE.PRM.ILDR.4.M","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Male","67.08773"
"SE.PRM.ILDR.4.R","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Rural","47.89575"
"SE.PRM.ILDR.4.U","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Urban","69.15715"
"SE.PRM.ILDR.5","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes","16.26392"
"SE.PRM.ILDR.5.F","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Female","16.29515"
"SE.PRM.ILDR.5.M","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Male","16.28283"
"SE.PRM.ILDR.5.R","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Rural","20.40578"
"SE.PRM.ILDR.5.U","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Urban","15.69843"
"SE.PRM.ILDR.6","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion","81.63705"
"SE.PRM.ILDR.6.F","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Female","74.86227"
"SE.PRM.ILDR.6.M","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Male","82.10774"
"SE.PRM.ILDR.6.R","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Rural","67.72168"
"SE.PRM.ILDR.6.U","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Urban","83.72144"
"SE.PRM.ILDR.7","(De Facto) Percent of teachers reporting having lesson plans","31.33218"
"SE.PRM.ILDR.7.F","(De Facto) Percent of teachers reporting having lesson plans - Female","20.37244"
"SE.PRM.ILDR.7.M","(De Facto) Percent of teachers reporting having lesson plans - Male","32.06887"
"SE.PRM.ILDR.7.R","(De Facto) Percent of teachers reporting having lesson plans - Rural","34.05233"
"SE.PRM.ILDR.7.U","(De Facto) Percent of teachers reporting having lesson plans - Urban","30.92473"
"SE.PRM.ILDR.8","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher)","74.74765"
"SE.PRM.ILDR.8.F","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Female","36.79911"
"SE.PRM.ILDR.8.M","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Male","77.13151"
"SE.PRM.ILDR.8.R","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Rural","73.96788"
"SE.PRM.ILDR.8.U","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Urban","74.86445"
"SE.PRM.IMON","Policy Lever (Inputs & Infrastructure) - Monitoring","3.191379"
"SE.PRM.IMON.1","(De Facto) Percent of schools that report there is someone monitoring that basic inputs are available to students","0.8832204"
"SE.PRM.IMON.10","(De Jure) Number of basic infrastructure features clearly articulated as needing to be monitored","-999"
"SE.PRM.IMON.2","(De Facto) Percent of schools that report that parents or community members are involved in the monitoring of availability of basic inputs","0.3562674"
"SE.PRM.IMON.3","(De Facto) Percent of schools that report that there is an inventory to monitor availability of basic inputs","1.230817"
"SE.PRM.IMON.4","(De Facto) Percent of schools that report there is someone monitoring that basic infrastructure is available","0.7450483"
"SE.PRM.IMON.5","(De Facto) Percent of schools that report that parents or community members are involved in the monitoring of availability of basic infrastructure","0.9433946"
"SE.PRM.IMON.6","(De Facto) Percent of schools that report that there is an inventory to monitor availability of basic infrastructure","0.7292884"
"SE.PRM.IMON.7","(De Jure) Is the responsibility of monitoring basic inputs clearly articulated in the policies?","-999"
"SE.PRM.IMON.8","(De Jure) Number of basic inputs clearly articulated as needing to be monitored","-999"
"SE.PRM.IMON.9","(De Jure) Is the responsibility of monitoring basic infrastructure clearly articulated in the policies?","-999"
"SE.PRM.IMON.DF","(De Facto) Policy Lever (Inputs & Infrastructure) - Monitoring","3.191379"
"SE.PRM.IMON.DJ","(De Jure) Policy Lever (Inputs & Infrastructure) - Monitoring","-999"
"SE.PRM.INFR","Basic Infrastructure","2.355797"
"SE.PRM.INFR.1","(De Facto) Average number of infrastructure aspects present in schools","2.355797"
"SE.PRM.INFR.1.R","(De Facto) Average number of infrastructure aspects present in schools - Rural","1.263397"
"SE.PRM.INFR.1.U","(De Facto) Average number of infrastructure aspects present in schools - Urban","2.517155"
"SE.PRM.INFR.2","(De Facto) Percent of schools with drinking water","59.78954"
"SE.PRM.INFR.2.R","(De Facto) Percent of schools with drinking water - Rural","37.85191"
"SE.PRM.INFR.2.U","(De Facto) Percent of schools with drinking water - Urban","63.00831"
"SE.PRM.INFR.3","(De Facto) Percent of schools with functioning toilets","29.97237"
"SE.PRM.INFR.3.R","(De Facto) Percent of schools with functioning toilets - Rural","9.846989"
"SE.PRM.INFR.3.U","(De Facto) Percent of schools with functioning toilets - Urban","32.92525"
"SE.PRM.INFR.4","(De Facto) Percent of schools with access to electricity","69.84931"
"SE.PRM.INFR.4.R","(De Facto) Percent of schools with access to electricity - Rural","18.52244"
"SE.PRM.INFR.4.U","(De Facto) Percent of schools with access to electricity - Urban","77.38018"
"SE.PRM.INFR.5","(De Facto) Percent of schools with access to internet","12.22677"
"SE.PRM.INFR.5.R","(De Facto) Percent of schools with access to internet - Rural","3.655026"
"SE.PRM.INFR.5.U","(De Facto) Percent of schools with access to internet - Urban","13.52305"
"SE.PRM.INFR.6","(De Facto) Percent of schools accessible to children with special needs","62.29311"
"SE.PRM.INFR.6.R","(De Facto) Percent of schools accessible to children with special needs - Rural","56.56431"
"SE.PRM.INFR.6.U","(De Facto) Percent of schools accessible to children with special needs - Urban","63.13931"
"SE.PRM.INPT","Basic Inputs","3.246643"
"SE.PRM.INPT.1","(De Facto) Average number of classroom inputs in classrooms","3.246643"
"SE.PRM.INPT.1.R","(De Facto) Average number of classroom inputs in classrooms - Rural","2.63534"
"SE.PRM.INPT.1.U","(De Facto) Average number of classroom inputs in classrooms - Urban","3.336939"
"SE.PRM.INPT.2","(De Facto) Percent of classrooms with a functional blackboard and chalk","96.18988"
"SE.PRM.INPT.2.R","(De Facto) Percent of classrooms with a functional blackboard and chalk - Rural","90.96018"
"SE.PRM.INPT.2.U","(De Facto) Percent of classrooms with a functional blackboard and chalk - Urban",NA
"SE.PRM.INPT.3","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books","58.99999"
"SE.PRM.INPT.3.R","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Rural","48.987"
"SE.PRM.INPT.3.U","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Urban","56.54797"
"SE.PRM.INPT.4","(De Facto) Percent of classrooms with basic classroom furniture","97.52879"
"SE.PRM.INPT.4.R","(De Facto) Percent of classrooms with basic classroom furniture - Rural","87.52207"
"SE.PRM.INPT.4.U","(De Facto) Percent of classrooms with basic classroom furniture - Urban","99.05133"
"SE.PRM.INPT.5","(De Facto) Percent of schools with access to EdTech","55.72233"
"SE.PRM.INPT.5.R","(De Facto) Percent of schools with access to EdTech - Rural","8.123596"
"SE.PRM.INPT.5.U","(De Facto) Percent of schools with access to EdTech - Urban","62.70619"
"SE.PRM.ISTD","Policy Lever (Inputs & Infrastructure) - Standards","4.489634"
"SE.PRM.ISTD.1","(De Jure) Is there a policy in place to require that students have access to the prescribed textbooks?","1"
"SE.PRM.ISTD.10","(De Facto) Do you know if there is a policy in place to require that schools have access to drinking water?","89.91957"
"SE.PRM.ISTD.11","(De Jure) Is there a policy in place to require that schools have functioning toilets?","1"
"SE.PRM.ISTD.12","(De Facto) Do you know if there is a policy in place to require that schools have functioning toilets?","99.33153"
"SE.PRM.ISTD.13","(De Jure) Is there a policy in place to require that schools are accessible to children with special needs?","1"
"SE.PRM.ISTD.14","(De Facto) Do you know if there is there a policy in place to require that schools are accessible to children with special needs?","83.15203"
"SE.PRM.ISTD.2","(De Facto) Do you know if there is a policy in place to require that students have access to the prescribed textbooks?","98.4162"
"SE.PRM.ISTD.3","(De Jure) Is there a national connectivity program?","1"
"SE.PRM.ISTD.4","(De Facto) Do you know if there is a national connectivity program?","-999"
"SE.PRM.ISTD.5","(De Jure) Is there a policy in place to require that students have access to PCs, laptops, tablets, and/or other computing devices?","0"
"SE.PRM.ISTD.6","(De Facto) Do you know if there is a policy in place to require that students have access to PCs, laptops, tablets, and/or other computing devices?","78.39991"
"SE.PRM.ISTD.7","(De Jure) Is there a policy in place to require that schools have access to electricity?","1"
"SE.PRM.ISTD.8","(De Facto) Do you know if there is a policy in place to require that schools have access to electricity?","98.15195"
"SE.PRM.ISTD.9","(De Jure) Is there a policy in place to require that schools have access to drinking water?","1"
"SE.PRM.ISTD.DF","(De Facto) Policy Lever (Inputs & Infrastructure) - Standards","4.489634"
"SE.PRM.ISTD.DJ","(De Jure) Policy Lever (Inputs & Infrastructure) - Standards","4.5"
"SE.PRM.LCAP","Student Readiness","32.9531"
"SE.PRM.LCAP.1","(De Facto) Average developmental score for 1st Graders","73.73661"
"SE.PRM.LCAP.1.F","(De Facto) Average developmental score for 1st Graders - Female","69.9116"
"SE.PRM.LCAP.1.M","(De Facto) Average developmental score for 1st Graders - Male","78.1605"
"SE.PRM.LCAP.1.R","(De Facto) Average developmental score for 1st Graders - Rural","73.16817"
"SE.PRM.LCAP.1.U","(De Facto) Average developmental score for 1st Graders - Urban","73.82215"
"SE.PRM.LCAP.2","(De Facto) Average numeracy score for 1st Graders","93.90991"
"SE.PRM.LCAP.2.F","(De Facto) Average numeracy score for 1st Graders - Female","92.07473"
"SE.PRM.LCAP.2.M","(De Facto) Average numeracy score for 1st Graders - Male","95.51848"
"SE.PRM.LCAP.2.R","(De Facto) Average numeracy score for 1st Graders - Rural","93.49224"
"SE.PRM.LCAP.2.U","(De Facto) Average numeracy score for 1st Graders - Urban","93.97276"
"SE.PRM.LCAP.3","(De Facto) Average literacy score for 1st Graders","77.60247"
"SE.PRM.LCAP.3.F","(De Facto) Average literacy score for 1st Graders - Female","74.04574"
"SE.PRM.LCAP.3.M","(De Facto) Average literacy score for 1st Graders - Male","79.79893"
"SE.PRM.LCAP.3.R","(De Facto) Average literacy score for 1st Graders - Rural","74.6825"
"SE.PRM.LCAP.3.U","(De Facto) Average literacy score for 1st Graders - Urban","78.04187"
"SE.PRM.LCAP.4","(De Facto) Average executive funcion score for 1st Graders","78.53504"
"SE.PRM.LCAP.4.F","(De Facto) Average executive funcion score for 1st Graders - Female","73.94719"
"SE.PRM.LCAP.4.M","(De Facto) Average executive funcion score for 1st Graders - Male","83.62547"
"SE.PRM.LCAP.4.R","(De Facto) Average executive funcion score for 1st Graders - Rural","78.89391"
"SE.PRM.LCAP.4.U","(De Facto) Average executive funcion score for 1st Graders - Urban","78.48104"
"SE.PRM.LCAP.5","(De Facto) Average socioemotional score for 1st Graders","44.899"
"SE.PRM.LCAP.5.F","(De Facto) Average socioemotional score for 1st Graders - Female","39.57875"
"SE.PRM.LCAP.5.M","(De Facto) Average socioemotional score for 1st Graders - Male","53.69913"
"SE.PRM.LCAP.5.R","(De Facto) Average socioemotional score for 1st Graders - Rural","45.60404"
"SE.PRM.LCAP.5.U","(De Facto) Average socioemotional score for 1st Graders - Urban","44.79291"
"SE.PRM.LCBC","Policy Lever (Learners) - Center-Based Care",NA
"SE.PRM.LCBC.1","(De Jure) Is there a policy that guarantees free education for some or all grades and ages included in pre-primary education (for children age 0-83 months)?","1"
"SE.PRM.LCBC.2","(De Facto) Percent of children age 36-59 months who are attending an early childhood education programme",NA
"SE.PRM.LCBC.3","(De Jure) Are there developmental standards established for early childhood care and education?","1"
"SE.PRM.LCBC.4","(De Jure) According to laws and regulations, are there requirement to become an early childhood educator, pre-primary teacher?","3"
"SE.PRM.LCBC.5","(De Jure) According to policy, are ECCE professionals working at public or private centers required to complete in-service training in ECCE service delivery?","0"
"SE.PRM.LCBC.DF","(De Facto) Policy Lever (Learners) - Center-Based Care",NA
"SE.PRM.LCBC.DJ","(De Jure) Policy Lever (Learners) - Center-Based Care","4"
"SE.PRM.LERN","Proficiency on GEPD Assessment","1.758012"
"SE.PRM.LERN.1","(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey","1.758012"
"SE.PRM.LERN.1.F","(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Female","2.060616"
"SE.PRM.LERN.1.M","(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Male","1.144737"
"SE.PRM.LERN.1.R","(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Rural","0.7412223"
"SE.PRM.LERN.1.U","(De Facto) Percent of children proficient in literacy and numeracy according to GEPD School Survey - Urban","1.910601"
"SE.PRM.LERN.2","(De Facto) Percent of children proficient in literacy according to GEPD School Survey","2.245654"
"SE.PRM.LERN.2.F","(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Female","2.459647"
"SE.PRM.LERN.2.M","(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Male","2.017134"
"SE.PRM.LERN.2.R","(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Rural","0.6518107"
"SE.PRM.LERN.2.U","(De Facto) Percent of children proficient in literacy according to GEPD School Survey - Urban","2.484841"
"SE.PRM.LERN.3","(De Facto) Percent of children proficient in numeracy according to GEPD School Survey","5.23586"
"SE.PRM.LERN.3.F","(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Female","2.600748"
"SE.PRM.LERN.3.M","(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Male","5.566003"
"SE.PRM.LERN.3.R","(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Rural","4.385135"
"SE.PRM.LERN.3.U","(De Facto) Percent of children proficient in numeracy according to GEPD School Survey - Urban","5.363528"
"SE.PRM.LFCP","Policy Lever (Learners) - Caregiver Capacity – Financial Capacity","2.204"
"SE.PRM.LFCP.1","(De Jure) Are anti poverty interventions that focus on ECD publicly supported?",NA
"SE.PRM.LFCP.2","(De Jure) Are cash transfers conditional on ECD services/enrollment publicly supported?","-999"
"SE.PRM.LFCP.3","(De Jure) Are cash transfers focused partially on ECD publicly supported?","-999"
"SE.PRM.LFCP.4","(De Facto) Coverage of social protection programs","30.1"
"SE.PRM.LFCP.DF","(De Facto) Policy Lever (Learners) - Caregiver Capacity – Financial Capacity","2.204"
"SE.PRM.LFCP.DJ","(De Jure) Policy Lever (Learners) - Caregiver Capacity – Financial Capacity",NA
"SE.PRM.LHTH","Policy Lever (Learners) - Health","2.593333"
"SE.PRM.LHTH.1","(De Jure) Are young children required to receive a complete course of childhood immunizations?","1"
"SE.PRM.LHTH.2","(De Facto) Percent of children who at age 24-35 months had received all vaccinations recommended in the national immunization schedule","71"
"SE.PRM.LHTH.3","(De Jure) Is there a policy that assures access to healthcare for young children? Either by offering these services free or by subsidizing them","1"
"SE.PRM.LHTH.4","(De Facto) Percent of  children under 5 covered by health insurance",NA
"SE.PRM.LHTH.5","(De Jure) Are deworming pills funded and distributed by the government?","1"
"SE.PRM.LHTH.6","(De Facto) Percent of children age 6-59 months who received deworming medication","71.28"
"SE.PRM.LHTH.7","(De Jure) Is there a policy that guarantees pregnant women free antenatal visits and skilled delivery?","2"
"SE.PRM.LHTH.8","(De Facto) Percent of women age 15-49 years with a live birth in the last 2 years whose most recent live birth was delivered in a health facility","47.5"
"SE.PRM.LHTH.DF","(De Facto) Policy Lever (Learners) - Health","2.593333"
"SE.PRM.LHTH.DJ","(De Jure) Policy Lever (Learners) - Health","5"
"SE.PRM.LNTN","Policy Lever (Learners) - Nutrition Programs","3.106503"
"SE.PRM.LNTN.1","(De Jure) Does a national policy to encourage salt iodization exist?","1"
"SE.PRM.LNTN.2","(De Facto) Percent of households with salt testing positive for any iodide among households","85.6"
"SE.PRM.LNTN.3","(De Jure) Does a national policy exist to encourage iron fortification of staples like wheat, maize, or rice?","1"
"SE.PRM.LNTN.4","(De Facto) Percent of children age 6–23 months who had at least the minimum dietary diversity and the minimum meal frequency during the previous day","13.5"
"SE.PRM.LNTN.5","(De Jure) Does a national policy exist to encourage breastfeeding?","1"
"SE.PRM.LNTN.6","(De Facto) Percent of children born in the five (three) years preceding the survey who were ever breastfed","95.5"
"SE.PRM.LNTN.7","(De Jure) Is there a publicly funded school feeding program?","0"
"SE.PRM.LNTN.8","(De Facto) Percent of schools reporting having publicly funded school feeding program","16.05029"
"SE.PRM.LNTN.DF","(De Facto) Policy Lever (Learners) - Nutrition Programs","3.106503"
"SE.PRM.LNTN.DJ","(De Jure) Policy Lever (Learners) - Nutrition Programs","4"
"SE.PRM.LSKC","Policy Lever (Learners) - Caregiver Capacity – Skills Capacity",NA
"SE.PRM.LSKC.1","(De Jure) Does the government offer programs that aim to share good parenting practices with caregivers?","0"
"SE.PRM.LSKC.2","(De Jure) Are any of the following publicly-supported delivery channels used to reach families in order to promote early childhood stimulation? Home visits, Group sessions, Community health programs, Health center waiting rooms, School-based groups, Mass media/Information campaigns","1"
"SE.PRM.LSKC.3","(De Facto) Percent of children under age 5 who have three or more children’s books","-999"
"SE.PRM.LSKC.4","(De Facto) Percent of children age 24-59 months engaged in four or more activities to provide early stimulation and responsive care in the last 3 days with any adult in the household",NA
"SE.PRM.LSKC.DF","(De Facto) Policy Lever (Learners) - Caregiver Capacity – Skills Capacity",NA
"SE.PRM.LSKC.DJ","(De Jure) Policy Lever (Learners) - Caregiver Capacity – Skills Capacity","2"
"SE.PRM.OPMN","Operational Management","3.825865"
"SE.PRM.OPMN.1","(De Facto) Average score for the presence and quality of core operational management functions","3.825865"
"SE.PRM.OPMN.1.F","(De Facto) Average score for the presence and quality of core operational management functions - Female","3.788169"
"SE.PRM.OPMN.1.M","(De Facto) Average score for the presence and quality of core operational management functions - Male","3.828239"
"SE.PRM.OPMN.1.R","(De Facto) Average score for the presence and quality of core operational management functions - Rural","3.754565"
"SE.PRM.OPMN.1.U","(De Facto) Average score for the presence and quality of core operational management functions - Urban","3.836327"
"SE.PRM.OPMN.2","(De Facto) Average score for infrastructure repair/maintenance","3.822256"
"SE.PRM.OPMN.2.F","(De Facto) Average score for infrastructure repair/maintenance - Female","4.079386"
"SE.PRM.OPMN.2.M","(De Facto) Average score for infrastructure repair/maintenance - Male","3.806065"
"SE.PRM.OPMN.2.R","(De Facto) Average score for infrastructure repair/maintenance - Rural","3.729352"
"SE.PRM.OPMN.2.U","(De Facto) Average score for infrastructure repair/maintenance - Urban","3.835887"
"SE.PRM.OPMN.3","(De Facto) Average score for ensuring  availability of school inputs","3.829475"
"SE.PRM.OPMN.3.F","(De Facto) Average score for ensuring  availability of school inputs - Female","3.496951"
"SE.PRM.OPMN.3.M","(De Facto) Average score for ensuring  availability of school inputs - Male","3.850413"
"SE.PRM.OPMN.3.R","(De Facto) Average score for ensuring  availability of school inputs - Rural","3.779778"
"SE.PRM.OPMN.3.U","(De Facto) Average score for ensuring  availability of school inputs - Urban","3.836767"
"SE.PRM.PEDG","Teacher Pedagogical Skills","19.5552"
"SE.PRM.PEDG.1","(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score)","19.5552"
"SE.PRM.PEDG.1.F","(De Facto) Percent of teachers with good pedagogical skills (3 or above on Teach overall score) - Female",NA
