"Series","Indicator Name","value","value_metadata","year","cty_or_agg","countrycode"
"SE.PRM.CONT.3","(De Facto) Percent of teachers proficient in the subject of mathematics",57.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.3.F","(De Facto) Percent of teachers proficient in the subject of mathematics - Female",58.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.3.M","(De Facto) Percent of teachers proficient in the subject of mathematics - Male",61.4,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.3.R","(De Facto) Percent of teachers proficient in the subject of mathematics - Rural",56.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.CONT.3.U","(De Facto) Percent of teachers proficient in the subject of mathematics - Urban",57.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.EFFT","Teacher Presence",93.4,"On Target",2019,"cty","JOR"
"SE.PRM.EFFT.1","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit",81.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.EFFT.1.F","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Female",81.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.EFFT.1.M","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Male",83.4,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.EFFT.1.R","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Rural",78.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.EFFT.1.U","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Urban",82.8,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.EFFT.2","(De Facto) Percent of teachers present in their schools during an announced visit",93.4,"On Target",2019,"cty","JOR"
"SE.PRM.EFFT.2.F","(De Facto) Percent of teachers present in their schools during an announced visit - Female",93.3,"On Target",2019,"cty","JOR"
"SE.PRM.EFFT.2.M","(De Facto) Percent of teachers present in their schools during an announced visit - Male",91.7,"On Target",2019,"cty","JOR"
"SE.PRM.EFFT.2.R","(De Facto) Percent of teachers present in their schools during an announced visit - Rural",91,"On Target",2019,"cty","JOR"
"SE.PRM.EFFT.2.U","(De Facto) Percent of teachers present in their schools during an announced visit - Urban",94.1,"On Target",2019,"cty","JOR"
"SE.PRM.ILDR","Instructional Leadership",3.3,"Caution",2019,"cty","JOR"
"SE.PRM.ILDR.1","(De Facto) Average score for the presence and quality of instructional leadership",3.3,"Caution",2019,"cty","JOR"
"SE.PRM.ILDR.1.F","(De Facto) Average score for the presence and quality of instructional leadership - Female",3.3,"Caution",2019,"cty","JOR"
"SE.PRM.ILDR.1.M","(De Facto) Average score for the presence and quality of instructional leadership - Male",3.1,"Caution",2019,"cty","JOR"
"SE.PRM.ILDR.1.R","(De Facto) Average score for the presence and quality of instructional leadership - Rural",3.2,"Caution",2019,"cty","JOR"
"SE.PRM.ILDR.1.U","(De Facto) Average score for the presence and quality of instructional leadership - Urban",3.3,"Caution",2019,"cty","JOR"
"SE.PRM.ILDR.2","(De Facto) Percent of teachers reporting having had their class observed",75.1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.2.F","(De Facto) Percent of teachers reporting having had their class observed - Female",78,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.2.M","(De Facto) Percent of teachers reporting having had their class observed - Male",63.4,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.2.R","(De Facto) Percent of teachers reporting having had their class observed - Rural",71.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.2.U","(De Facto) Percent of teachers reporting having had their class observed - Urban",76.1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.3","(De Facto) Percent of teachers reporting that the classroom observation happened recently",74.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.3.F","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Female",77.4,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.3.M","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Male",63.4,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.3.R","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Rural",71.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.3.U","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Urban",75.6,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.4","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation",27.1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.4.F","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Female",27.8,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.4.M","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Male",24.3,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.4.R","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Rural",28.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.4.U","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Urban",26.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.5","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes",3.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.5.F","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Female",4.4,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.5.M","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Male",0,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.5.R","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Rural",5.3,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.5.U","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Urban",3.2,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.6","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion",52.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.6.F","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Female",55.2,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.6.M","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Male",43.4,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.6.R","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Rural",50,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.6.U","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Urban",53.8,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.7","(De Facto) Percent of teachers reporting having lesson plans",12.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.7.F","(De Facto) Percent of teachers reporting having lesson plans - Female",10.8,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.7.M","(De Facto) Percent of teachers reporting having lesson plans - Male",20.8,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.7.R","(De Facto) Percent of teachers reporting having lesson plans - Rural",14.1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.7.U","(De Facto) Percent of teachers reporting having lesson plans - Urban",12.3,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.8","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher)",65.6,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.8.F","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Female",66.5,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.8.M","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Male",62,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.8.R","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Rural",59,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ILDR.8.U","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Urban",67.5,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.IMON","Policy Lever (Inputs & Infrastructure) - Monitoring",3,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.IMON.1","(De Facto) Percent of schools that report there is someone monitoring that basic inputs are available to students",1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.IMON.10","(De Jure) Number of basic infrastructure features clearly articulated as needing to be monitored",NA,"N/A",2019,"cty","JOR"
"SE.PRM.IMON.2","(De Facto) Percent of schools that report that parents or community members are involved in the monitoring of availability of basic inputs",0.2,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.IMON.3","(De Facto) Percent of schools that report that there is an inventory to monitor availability of basic inputs",1.1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.IMON.4","(De Facto) Percent of schools that report there is someone monitoring that basic infrastructure is available",0.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.IMON.5","(De Facto) Percent of schools that report that parents or community members are involved in the monitoring of availability of basic infrastructure",0.3,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.IMON.6","(De Facto) Percent of schools that report that there is an inventory to monitor availability of basic infrastructure",0.8,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.IMON.7","(De Jure) Is the responsibility of monitoring basic inputs clearly articulated in the policies?",NA,"N/A",2019,"cty","JOR"
"SE.PRM.IMON.8","(De Jure) Number of basic inputs clearly articulated as needing to be monitored",NA,"N/A",2019,"cty","JOR"
"SE.PRM.IMON.9","(De Jure) Is the responsibility of monitoring basic infrastructure clearly articulated in the policies?",NA,"N/A",2019,"cty","JOR"
"SE.PRM.IMON.DF","(De Facto) Policy Lever (Inputs & Infrastructure) - Monitoring",3,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.IMON.DJ","(De Jure) Policy Lever (Inputs & Infrastructure) - Monitoring",NA,"N/A",2019,"cty","JOR"
"SE.PRM.INFR","Basic Infrastructure",4.1,"On Target",2019,"cty","JOR"
"SE.PRM.INFR.1","(De Facto) Average number of infrastructure aspects present in schools",4.1,"On Target",2019,"cty","JOR"
"SE.PRM.INFR.1.R","(De Facto) Average number of infrastructure aspects present in schools - Rural",4,"Caution",2019,"cty","JOR"
"SE.PRM.INFR.1.U","(De Facto) Average number of infrastructure aspects present in schools - Urban",4.2,"On Target",2019,"cty","JOR"
"SE.PRM.INFR.2","(De Facto) Percent of schools with drinking water",89.2,"Caution",2019,"cty","JOR"
"SE.PRM.INFR.2.R","(De Facto) Percent of schools with drinking water - Rural",86.2,"Caution",2019,"cty","JOR"
"SE.PRM.INFR.2.U","(De Facto) Percent of schools with drinking water - Urban",90.1,"On Target",2019,"cty","JOR"
"SE.PRM.INFR.3","(De Facto) Percent of schools with functioning toilets",68.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.INFR.3.R","(De Facto) Percent of schools with functioning toilets - Rural",70.1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.INFR.3.U","(De Facto) Percent of schools with functioning toilets - Urban",68.4,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.INFR.4","(De Facto) Percent of schools with access to electricity",99.5,"On Target",2019,"cty","JOR"
"SE.PRM.INFR.4.R","(De Facto) Percent of schools with access to electricity - Rural",100,"On Target",2019,"cty","JOR"
"SE.PRM.INFR.4.U","(De Facto) Percent of schools with access to electricity - Urban",99.4,"On Target",2019,"cty","JOR"
"SE.PRM.INFR.5","(De Facto) Percent of schools with access to internet",88.2,"Caution",2019,"cty","JOR"
"SE.PRM.INFR.5.R","(De Facto) Percent of schools with access to internet - Rural",76.8,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.INFR.5.U","(De Facto) Percent of schools with access to internet - Urban",91.5,"On Target",2019,"cty","JOR"
"SE.PRM.INFR.6","(De Facto) Percent of schools accessible to children with special needs",65.8,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.INFR.6.R","(De Facto) Percent of schools accessible to children with special needs - Rural",65.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.INFR.6.U","(De Facto) Percent of schools accessible to children with special needs - Urban",65.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.INPT","Basic Inputs",4.3,"On Target",2019,"cty","JOR"
"SE.PRM.INPT.1","(De Facto) Average number of classroom inputs in classrooms",4.3,"On Target",2019,"cty","JOR"
"SE.PRM.INPT.1.R","(De Facto) Average number of classroom inputs in classrooms - Rural",4.2,"On Target",2019,"cty","JOR"
"SE.PRM.INPT.1.U","(De Facto) Average number of classroom inputs in classrooms - Urban",4.3,"On Target",2019,"cty","JOR"
"SE.PRM.INPT.2","(De Facto) Percent of classrooms with a functional blackboard and chalk",97.7,"On Target",2019,"cty","JOR"
"SE.PRM.INPT.2.R","(De Facto) Percent of classrooms with a functional blackboard and chalk - Rural",97.1,"On Target",2019,"cty","JOR"
"SE.PRM.INPT.2.U","(De Facto) Percent of classrooms with a functional blackboard and chalk - Urban",97.8,"On Target",2019,"cty","JOR"
"SE.PRM.INPT.3","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books",87.2,"Caution",2019,"cty","JOR"
"SE.PRM.INPT.3.R","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Rural",84,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.INPT.3.U","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Urban",85.9,"Caution",2019,"cty","JOR"
"SE.PRM.INPT.4","(De Facto) Percent of classrooms with basic classroom furniture",87.9,"Caution",2019,"cty","JOR"
"SE.PRM.INPT.4.R","(De Facto) Percent of classrooms with basic classroom furniture - Rural",90.3,"On Target",2019,"cty","JOR"
"SE.PRM.INPT.4.U","(De Facto) Percent of classrooms with basic classroom furniture - Urban",87.2,"Caution",2019,"cty","JOR"
"SE.PRM.INPT.5","(De Facto) Percent of schools with access to EdTech",89.3,"Caution",2019,"cty","JOR"
"SE.PRM.INPT.5.R","(De Facto) Percent of schools with access to EdTech - Rural",89.2,"Caution",2019,"cty","JOR"
"SE.PRM.INPT.5.U","(De Facto) Percent of schools with access to EdTech - Urban",89.4,"Caution",2019,"cty","JOR"
"SE.PRM.ISTD","Policy Lever (Inputs & Infrastructure) - Standards",3.8,"Caution",2019,"cty","JOR"
"SE.PRM.ISTD.1","(De Jure) Is there a policy in place to require that students have access to the prescribed textbooks?",1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ISTD.10","(De Facto) Do you know if there is a policy in place to require that schools have access to drinking water?",63.8,"On Target",2019,"cty","JOR"
"SE.PRM.ISTD.11","(De Jure) Is there a policy in place to require that schools have functioning toilets?",1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ISTD.12","(De Facto) Do you know if there is a policy in place to require that schools have functioning toilets?",95.5,"On Target",2019,"cty","JOR"
"SE.PRM.ISTD.13","(De Jure) Is there a policy in place to require that schools are accessible to children with special needs?",1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ISTD.14","(De Facto) Do you know if there is there a policy in place to require that schools are accessible to children with special needs?",96.2,"On Target",2019,"cty","JOR"
"SE.PRM.ISTD.2","(De Facto) Do you know if there is a policy in place to require that students have access to the prescribed textbooks?",68.4,"On Target",2019,"cty","JOR"
"SE.PRM.ISTD.3","(De Jure) Is there a national connectivity program?",1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ISTD.4","(De Facto) Do you know if there is a national connectivity program?",NA,"N/A",2019,"cty","JOR"
"SE.PRM.ISTD.5","(De Jure) Is there a policy in place to require that students have access to PCs, laptops, tablets, and/or other computing devices?",1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ISTD.6","(De Facto) Do you know if there is a policy in place to require that students have access to PCs, laptops, tablets, and/or other computing devices?",52.4,"On Target",2019,"cty","JOR"
"SE.PRM.ISTD.7","(De Jure) Is there a policy in place to require that schools have access to electricity?",1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ISTD.8","(De Facto) Do you know if there is a policy in place to require that schools have access to electricity?",96.2,"On Target",2019,"cty","JOR"
"SE.PRM.ISTD.9","(De Jure) Is there a policy in place to require that schools have access to drinking water?",1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.ISTD.DF","(De Facto) Policy Lever (Inputs & Infrastructure) - Standards",3.8,"Caution",2019,"cty","JOR"
"SE.PRM.ISTD.DJ","(De Jure) Policy Lever (Inputs & Infrastructure) - Standards",5,"On Target",2019,"cty","JOR"
"SE.PRM.LCAP","Student Readiness",37.2,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.1","(De Facto) Average developmental score for 1st Graders",73.1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.1.F","(De Facto) Average developmental score for 1st Graders - Female",74.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.1.M","(De Facto) Average developmental score for 1st Graders - Male",73.6,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.1.R","(De Facto) Average developmental score for 1st Graders - Rural",73.6,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.1.U","(De Facto) Average developmental score for 1st Graders - Urban",73,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.2","(De Facto) Average numeracy score for 1st Graders",92.4,"On Target",2019,"cty","JOR"
"SE.PRM.LCAP.2.F","(De Facto) Average numeracy score for 1st Graders - Female",93.2,"On Target",2019,"cty","JOR"
"SE.PRM.LCAP.2.M","(De Facto) Average numeracy score for 1st Graders - Male",92.4,"On Target",2019,"cty","JOR"
"SE.PRM.LCAP.2.R","(De Facto) Average numeracy score for 1st Graders - Rural",90.5,"On Target",2019,"cty","JOR"
"SE.PRM.LCAP.2.U","(De Facto) Average numeracy score for 1st Graders - Urban",92.9,"On Target",2019,"cty","JOR"
"SE.PRM.LCAP.3","(De Facto) Average literacy score for 1st Graders",75.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.3.F","(De Facto) Average literacy score for 1st Graders - Female",77.1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.3.M","(De Facto) Average literacy score for 1st Graders - Male",76.2,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.3.R","(De Facto) Average literacy score for 1st Graders - Rural",75.5,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.3.U","(De Facto) Average literacy score for 1st Graders - Urban",75.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.4","(De Facto) Average executive funcion score for 1st Graders",68.4,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.4.F","(De Facto) Average executive funcion score for 1st Graders - Female",69.8,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.4.M","(De Facto) Average executive funcion score for 1st Graders - Male",69.7,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.4.R","(De Facto) Average executive funcion score for 1st Graders - Rural",70.1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.4.U","(De Facto) Average executive funcion score for 1st Graders - Urban",67.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.5","(De Facto) Average socioemotional score for 1st Graders",55.9,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.5.F","(De Facto) Average socioemotional score for 1st Graders - Female",59.4,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.5.M","(De Facto) Average socioemotional score for 1st Graders - Male",56.1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.5.R","(De Facto) Average socioemotional score for 1st Graders - Rural",58.1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCAP.5.U","(De Facto) Average socioemotional score for 1st Graders - Urban",55.3,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCBC","Policy Lever (Learners) - Center-Based Care",1.5,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCBC.1","(De Jure) Is there a policy that guarantees free education for some or all grades and ages included in pre-primary education (for children age 0-83 months)?",1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCBC.2","(De Facto) Percent of children age 36-59 months who are attending an early childhood education programme",13,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCBC.3","(De Jure) Are there developmental standards established for early childhood care and education?",1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCBC.4","(De Jure) According to laws and regulations, are there requirement to become an early childhood educator, pre-primary teacher?",3,"Caution",2019,"cty","JOR"
"SE.PRM.LCBC.5","(De Jure) According to policy, are ECCE professionals working at public or private centers required to complete in-service training in ECCE service delivery?",1,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCBC.DF","(De Facto) Policy Lever (Learners) - Center-Based Care",1.5,"Needs Improvement",2019,"cty","JOR"
"SE.PRM.LCBC.DJ","(De Jure) Policy Lever (Learners) - Center-Based Care",5,"On Target",2019,"cty","JOR"
"SE.PRM.LERN","Proficiency on GEPD Assessment",4.4,"Needs Improvement",2019,"cty","JOR"
