"Series","Indicator Name","value","value_metadata","year","cty_or_agg","countrycode"
"SE.PRM.BQBR.4","(Characteristics of Bureaucracy) average score for merit",4.2,"On Target",2020,"cty","RWA"
"SE.PRM.BQBR.5","(Characteristics of Bureaucracy) average score for motivation and attitudes",4.4,"On Target",2020,"cty","RWA"
"SE.PRM.CONT","Teacher Content Knowledge",27.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.1","(De Facto) Percent of teachers proficient in the subjects they teach",27.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.1.F","(De Facto) Percent of teachers proficient in the subjects they teach - Female",25.8,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.1.M","(De Facto) Percent of teachers proficient in the subjects they teach - Male",28.4,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.1.R","(De Facto) Percent of teachers proficient in the subjects they teach - Rural",24.5,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.1.U","(De Facto) Percent of teachers proficient in the subjects they teach - Urban",44.6,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.2","(De Facto) Percent of teachers proficient in the subject of language",20,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.2.F","(De Facto) Percent of teachers proficient in the subject of language - Female",20.4,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.2.M","(De Facto) Percent of teachers proficient in the subject of language - Male",20.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.2.R","(De Facto) Percent of teachers proficient in the subject of language - Rural",17.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.2.U","(De Facto) Percent of teachers proficient in the subject of language - Urban",37.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.3","(De Facto) Percent of teachers proficient in the subject of mathematics",41.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.3.F","(De Facto) Percent of teachers proficient in the subject of mathematics - Female",36.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.3.M","(De Facto) Percent of teachers proficient in the subject of mathematics - Male",45.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.3.R","(De Facto) Percent of teachers proficient in the subject of mathematics - Rural",38.7,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.CONT.3.U","(De Facto) Percent of teachers proficient in the subject of mathematics - Urban",56.6,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.EFFT","Teacher Presence",86.8,"Caution",2020,"cty","RWA"
"SE.PRM.EFFT.1","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit",80,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.EFFT.1.F","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Female",79.9,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.EFFT.1.M","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Male",79.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.EFFT.1.R","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Rural",79.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.EFFT.1.U","(De Facto) Percent of teachers present in their classrooms, when they are scheduled to be teaching, during an announced visit - Urban",84.7,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.EFFT.2","(De Facto) Percent of teachers present in their schools during an announced visit",86.8,"Caution",2020,"cty","RWA"
"SE.PRM.EFFT.2.F","(De Facto) Percent of teachers present in their schools during an announced visit - Female",86.2,"Caution",2020,"cty","RWA"
"SE.PRM.EFFT.2.M","(De Facto) Percent of teachers present in their schools during an announced visit - Male",87.2,"Caution",2020,"cty","RWA"
"SE.PRM.EFFT.2.R","(De Facto) Percent of teachers present in their schools during an announced visit - Rural",86.4,"Caution",2020,"cty","RWA"
"SE.PRM.EFFT.2.U","(De Facto) Percent of teachers present in their schools during an announced visit - Urban",89.1,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR","Instructional Leadership",3.4,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.1","(De Facto) Average score for the presence and quality of instructional leadership",3.4,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.1.F","(De Facto) Average score for the presence and quality of instructional leadership - Female",3.4,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.1.M","(De Facto) Average score for the presence and quality of instructional leadership - Male",3.4,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.1.R","(De Facto) Average score for the presence and quality of instructional leadership - Rural",3.4,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.1.U","(De Facto) Average score for the presence and quality of instructional leadership - Urban",3.4,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.2","(De Facto) Percent of teachers reporting having had their class observed",88.2,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.2.F","(De Facto) Percent of teachers reporting having had their class observed - Female",85.6,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.2.M","(De Facto) Percent of teachers reporting having had their class observed - Male",89.3,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.2.R","(De Facto) Percent of teachers reporting having had their class observed - Rural",88.6,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.2.U","(De Facto) Percent of teachers reporting having had their class observed - Urban",86.3,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.3","(De Facto) Percent of teachers reporting that the classroom observation happened recently",87.6,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.3.F","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Female",85.6,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.3.M","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Male",88.4,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.3.R","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Rural",87.9,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.3.U","(De Facto) Percent of teachers reporting that the classroom observation happened recently - Urban",86.3,"Caution",2020,"cty","RWA"
"SE.PRM.ILDR.4","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation",51,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.4.F","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Female",54.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.4.M","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Male",49.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.4.R","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Rural",49.5,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.4.U","(De Facto) Percent of teachers reporting having discussed the results of the classroom observation - Urban",59.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.5","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes",39.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.5.F","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Female",33,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.5.M","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Male",42.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.5.R","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Rural",40.5,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.5.U","(De Facto) Percent of teachers reporting that the discussion was over 30 minutes - Urban",32,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.6","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion",69.7,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.6.F","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Female",63.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.6.M","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Male",72.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.6.R","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Rural",70.7,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.6.U","(De Facto) Percent of teachers reporting that they were provided with feedback in that discussion - Urban",64.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.7","(De Facto) Percent of teachers reporting having lesson plans",44.7,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.7.F","(De Facto) Percent of teachers reporting having lesson plans - Female",44.7,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.7.M","(De Facto) Percent of teachers reporting having lesson plans - Male",45.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.7.R","(De Facto) Percent of teachers reporting having lesson plans - Rural",45,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.7.U","(De Facto) Percent of teachers reporting having lesson plans - Urban",43,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.8","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher)",43.8,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.8.F","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Female",56.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.8.M","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Male",37.7,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.8.R","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Rural",43.5,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ILDR.8.U","(De Facto) Percent of teachers reporting that they had discussed their lesson plans with someone else (pricinpal, pedagogical coordinator, another teacher) - Urban",45.9,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.IMON","Policy Lever (Inputs & Infrastructure) - Monitoring",3.1,"Caution",2020,"cty","RWA"
"SE.PRM.IMON.1","(De Facto) Percent of schools that report there is someone monitoring that basic inputs are available to students",1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.IMON.10","(De Jure) Number of basic infrastructure features clearly articulated as needing to be monitored",NA,"N/A",2020,"cty","RWA"
"SE.PRM.IMON.2","(De Facto) Percent of schools that report that parents or community members are involved in the monitoring of availability of basic inputs",0.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.IMON.3","(De Facto) Percent of schools that report that there is an inventory to monitor availability of basic inputs",1.4,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.IMON.4","(De Facto) Percent of schools that report there is someone monitoring that basic infrastructure is available",0.9,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.IMON.5","(De Facto) Percent of schools that report that parents or community members are involved in the monitoring of availability of basic infrastructure",0.7,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.IMON.6","(De Facto) Percent of schools that report that there is an inventory to monitor availability of basic infrastructure",5.5,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.IMON.7","(De Jure) Is the responsibility of monitoring basic inputs clearly articulated in the policies?",NA,"N/A",2020,"cty","RWA"
"SE.PRM.IMON.8","(De Jure) Number of basic inputs clearly articulated as needing to be monitored",NA,"N/A",2020,"cty","RWA"
"SE.PRM.IMON.9","(De Jure) Is the responsibility of monitoring basic infrastructure clearly articulated in the policies?",NA,"N/A",2020,"cty","RWA"
"SE.PRM.IMON.DF","(De Facto) Policy Lever (Inputs & Infrastructure) - Monitoring",3.1,"Caution",2020,"cty","RWA"
"SE.PRM.IMON.DJ","(De Jure) Policy Lever (Inputs & Infrastructure) - Monitoring",NA,"N/A",2020,"cty","RWA"
"SE.PRM.INFR","Basic Infrastructure",3.1,"Caution",2020,"cty","RWA"
"SE.PRM.INFR.1","(De Facto) Average number of infrastructure aspects present in schools",3.1,"Caution",2020,"cty","RWA"
"SE.PRM.INFR.1.R","(De Facto) Average number of infrastructure aspects present in schools - Rural",3.1,"Caution",2020,"cty","RWA"
"SE.PRM.INFR.1.U","(De Facto) Average number of infrastructure aspects present in schools - Urban",3.5,"Caution",2020,"cty","RWA"
"SE.PRM.INFR.2","(De Facto) Percent of schools with drinking water",74.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INFR.2.R","(De Facto) Percent of schools with drinking water - Rural",73.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INFR.2.U","(De Facto) Percent of schools with drinking water - Urban",79.7,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INFR.3","(De Facto) Percent of schools with functioning toilets",56.6,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INFR.3.R","(De Facto) Percent of schools with functioning toilets - Rural",56.8,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INFR.3.U","(De Facto) Percent of schools with functioning toilets - Urban",55.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INFR.4","(De Facto) Percent of schools with access to electricity",77.7,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INFR.4.R","(De Facto) Percent of schools with access to electricity - Rural",73.9,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INFR.4.U","(De Facto) Percent of schools with access to electricity - Urban",100,"On Target",2020,"cty","RWA"
"SE.PRM.INFR.5","(De Facto) Percent of schools with access to internet",27.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INFR.5.R","(De Facto) Percent of schools with access to internet - Rural",25.6,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INFR.5.U","(De Facto) Percent of schools with access to internet - Urban",37.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INFR.6","(De Facto) Percent of schools accessible to children with special needs",75.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INFR.6.R","(De Facto) Percent of schools accessible to children with special needs - Rural",74.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INFR.6.U","(De Facto) Percent of schools accessible to children with special needs - Urban",80.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INPT","Basic Inputs",3.3,"Caution",2020,"cty","RWA"
"SE.PRM.INPT.1","(De Facto) Average number of classroom inputs in classrooms",3.3,"Caution",2020,"cty","RWA"
"SE.PRM.INPT.1.R","(De Facto) Average number of classroom inputs in classrooms - Rural",3.2,"Caution",2020,"cty","RWA"
"SE.PRM.INPT.1.U","(De Facto) Average number of classroom inputs in classrooms - Urban",3.8,"Caution",2020,"cty","RWA"
"SE.PRM.INPT.2","(De Facto) Percent of classrooms with a functional blackboard and chalk",92.2,"On Target",2020,"cty","RWA"
"SE.PRM.INPT.2.R","(De Facto) Percent of classrooms with a functional blackboard and chalk - Rural",90.8,"On Target",2020,"cty","RWA"
"SE.PRM.INPT.2.U","(De Facto) Percent of classrooms with a functional blackboard and chalk - Urban",NA,"N/A",2020,"cty","RWA"
"SE.PRM.INPT.3","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books",59.8,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INPT.3.R","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Rural",57.9,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INPT.3.U","(De facto) Percent of classrooms equipped with pens/pencils, textbooks, and exercise books - Urban",64.7,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INPT.4","(De Facto) Percent of classrooms with basic classroom furniture",99.5,"On Target",2020,"cty","RWA"
"SE.PRM.INPT.4.R","(De Facto) Percent of classrooms with basic classroom furniture - Rural",99.4,"On Target",2020,"cty","RWA"
"SE.PRM.INPT.4.U","(De Facto) Percent of classrooms with basic classroom furniture - Urban",100,"On Target",2020,"cty","RWA"
"SE.PRM.INPT.5","(De Facto) Percent of schools with access to EdTech",76.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INPT.5.R","(De Facto) Percent of schools with access to EdTech - Rural",74,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.INPT.5.U","(De Facto) Percent of schools with access to EdTech - Urban",89.6,"Caution",2020,"cty","RWA"
"SE.PRM.ISTD","Policy Lever (Inputs & Infrastructure) - Standards",4.5,"On Target",2020,"cty","RWA"
"SE.PRM.ISTD.1","(De Jure) Is there a policy in place to require that students have access to the prescribed textbooks?",1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ISTD.10","(De Facto) Do you know if there is a policy in place to require that schools have access to drinking water?",93.1,"On Target",2020,"cty","RWA"
"SE.PRM.ISTD.11","(De Jure) Is there a policy in place to require that schools have functioning toilets?",1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ISTD.12","(De Facto) Do you know if there is a policy in place to require that schools have functioning toilets?",99.5,"On Target",2020,"cty","RWA"
"SE.PRM.ISTD.13","(De Jure) Is there a policy in place to require that schools are accessible to children with special needs?",1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ISTD.14","(De Facto) Do you know if there is there a policy in place to require that schools are accessible to children with special needs?",95.7,"On Target",2020,"cty","RWA"
"SE.PRM.ISTD.2","(De Facto) Do you know if there is a policy in place to require that students have access to the prescribed textbooks?",98.8,"On Target",2020,"cty","RWA"
"SE.PRM.ISTD.3","(De Jure) Is there a national connectivity program?",1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ISTD.4","(De Facto) Do you know if there is a national connectivity program?",NA,"N/A",2020,"cty","RWA"
"SE.PRM.ISTD.5","(De Jure) Is there a policy in place to require that students have access to PCs, laptops, tablets, and/or other computing devices?",1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ISTD.6","(De Facto) Do you know if there is a policy in place to require that students have access to PCs, laptops, tablets, and/or other computing devices?",87.7,"On Target",2020,"cty","RWA"
"SE.PRM.ISTD.7","(De Jure) Is there a policy in place to require that schools have access to electricity?",1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ISTD.8","(De Facto) Do you know if there is a policy in place to require that schools have access to electricity?",89.3,"On Target",2020,"cty","RWA"
"SE.PRM.ISTD.9","(De Jure) Is there a policy in place to require that schools have access to drinking water?",1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.ISTD.DF","(De Facto) Policy Lever (Inputs & Infrastructure) - Standards",4.5,"On Target",2020,"cty","RWA"
"SE.PRM.ISTD.DJ","(De Jure) Policy Lever (Inputs & Infrastructure) - Standards",5,"On Target",2020,"cty","RWA"
"SE.PRM.LCAP","Student Readiness",8.6,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.1","(De Facto) Average developmental score for 1st Graders",53.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.1.F","(De Facto) Average developmental score for 1st Graders - Female",55,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.1.M","(De Facto) Average developmental score for 1st Graders - Male",52.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.1.R","(De Facto) Average developmental score for 1st Graders - Rural",51.8,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.1.U","(De Facto) Average developmental score for 1st Graders - Urban",63.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.2","(De Facto) Average numeracy score for 1st Graders",62.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.2.F","(De Facto) Average numeracy score for 1st Graders - Female",65.4,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.2.M","(De Facto) Average numeracy score for 1st Graders - Male",59.6,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.2.R","(De Facto) Average numeracy score for 1st Graders - Rural",60.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.2.U","(De Facto) Average numeracy score for 1st Graders - Urban",75.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.3","(De Facto) Average literacy score for 1st Graders",37.6,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.3.F","(De Facto) Average literacy score for 1st Graders - Female",38.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.3.M","(De Facto) Average literacy score for 1st Graders - Male",37.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.3.R","(De Facto) Average literacy score for 1st Graders - Rural",35.7,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.3.U","(De Facto) Average literacy score for 1st Graders - Urban",49.8,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.4","(De Facto) Average executive funcion score for 1st Graders",47,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.4.F","(De Facto) Average executive funcion score for 1st Graders - Female",47.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.4.M","(De Facto) Average executive funcion score for 1st Graders - Male",46.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.4.R","(De Facto) Average executive funcion score for 1st Graders - Rural",45.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.4.U","(De Facto) Average executive funcion score for 1st Graders - Urban",58.7,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.5","(De Facto) Average socioemotional score for 1st Graders",66.6,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.5.F","(De Facto) Average socioemotional score for 1st Graders - Female",69.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.5.M","(De Facto) Average socioemotional score for 1st Graders - Male",65.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.5.R","(De Facto) Average socioemotional score for 1st Graders - Rural",66.2,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCAP.5.U","(De Facto) Average socioemotional score for 1st Graders - Urban",69.3,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCBC","Policy Lever (Learners) - Center-Based Care",1.5,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCBC.1","(De Jure) Is there a policy that guarantees free education for some or all grades and ages included in pre-primary education (for children age 0-83 months)?",0,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCBC.2","(De Facto) Percent of children age 36-59 months who are attending an early childhood education programme",13.1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCBC.3","(De Jure) Are there developmental standards established for early childhood care and education?",1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCBC.4","(De Jure) According to laws and regulations, are there requirement to become an early childhood educator, pre-primary teacher?",1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCBC.5","(De Jure) According to policy, are ECCE professionals working at public or private centers required to complete in-service training in ECCE service delivery?",1,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCBC.DF","(De Facto) Policy Lever (Learners) - Center-Based Care",1.5,"Needs Improvement",2020,"cty","RWA"
"SE.PRM.LCBC.DJ","(De Jure) Policy Lever (Learners) - Center-Based Care",3.3,"Caution",2020,"cty","RWA"
"SE.PRM.LERN","Proficiency on GEPD Assessment",0.2,"Needs Improvement",2020,"cty","RWA"
