Variable,How Was Data Collected?,Details on Scoring
Teacher Evaluation (De Facto),Teacher Interview,Teacher Evaluation (De Facto)
Teacher reported being formally evaluated,Teacher Interview,Teacher reported being formally evaluated
Evaluation had multiple components,Teacher Interview,Evaluation had multiple components
Teacher reported negative consequences would occur if received 2 or more negative evaluations,Teacher Interview,Teacher reported negative consequences would occur if received 2 or more negative evaluations
Teacher reported positive consequences would occur if received 2 or more positive evaluations,Teacher Interview,Teacher reported positive consequences would occur if received 2 or more positive evaluations
Teacher Monitoring & Accountability (De Facto),Teacher Interview,Teacher Monitoring & Accountability (De Facto)
Teachers evaluated by some authority on basis of absence,Teacher Interview,Teachers evaluated by some authority on basis of absence
Teacher reported good attendance is rewarded. ,Teacher Interview,Teacher reported good attendance is rewarded. 
Teacher reported there are consequences for chronic absence (more than 30% absence),Teacher Interview,Teacher reported there are consequences for chronic absence (more than 30% absence)
Teacher reported having to miss class for administrative reasons,Teacher Interview,Teacher reported having to miss class for administrative reasons
Inputs and Infrastructure Standards,Principal Interview,Inputs and Infrastructure Standards
Inputs and Infrastructure Monitoring,Principal Interview,Inputs and Infrastructure Monitoring
"Fraction of inputs Principal reported being monitored (functioning blackboard, chalk, pens, pencils, textbooks, exercise books in 4th grade classrooms, basic classroom furniture, and at least one computer in the schools)",Principal Interview,"Fraction of inputs Principal reported being monitored (functioning blackboard, chalk, pens, pencils, textbooks, exercise books in 4th grade classrooms, basic classroom furniture, and at least one computer in the schools)"
"Fraction of infrastructure elements Principal reported being monitored (functioning toilets, electricity, drinking water, and accessibility for people with disabilities)",Principal Interview,"Fraction of infrastructure elements Principal reported being monitored (functioning toilets, electricity, drinking water, and accessibility for people with disabilities)"
Principal reports community involved in the monitoring,Principal Interview,Principal reports community involved in the monitoring
School Management Clarity of Functions,Principal Interview,School Management Clarity of Functions
Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Maintenance of Infrastructure,Principal Interview,Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Maintenance of Infrastructure
Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Procurement of materials,Principal Interview,Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Procurement of materials
Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Teacher hiring and assignment,Principal Interview,Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Teacher hiring and assignment
"Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Teacher supervision, training, and coaching",Principal Interview,"Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Teacher supervision, training, and coaching"
Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Student Learning Assessments,Principal Interview,Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Student Learning Assessments
Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Principal hiring and assignment,Principal Interview,Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Principal hiring and assignment
Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Principal Supervision and training,Principal Interview,Do you know if the policies governing schools assign responsibility for the implementation of each of the following: Principal Supervision and training
School Management Attraction,Principal Interview,School Management Attraction
Principal satisfied with status in community,Principal Interview,Principal satisfied with status in community
Principal reported salary as fraction of GDP,Principal Interview,Principal reported salary as fraction of GDP
School Management Selection & Deployment,Principal Interview,School Management Selection & Deployment
School Management Support,Principal Interview,School Management Support
Principal reported receiving formal training on managing school,Principal Interview,Principal reported receiving formal training on managing school
"Principal had received the following training (1/3 point for each): Management training for new principals, in-service training, mentoring coaching",Principal Interview,"Principal had received the following training (1/3 point for each): Management training for new principals, in-service training, mentoring coaching"
Principal reported using skills from training,Principal Interview,Principal reported using skills from training
Principal reported offered training at least once per year,Principal Interview,Principal reported offered training at least once per year
School Management Evaluation,Principal Interview,School Management Evaluation
Principal reported being formally evaluated,Principal Interview,Principal reported being formally evaluated
Principal evaluation based on multiple components (at least 5 components for full credit,Principal Interview,Principal evaluation based on multiple components (at least 5 components for full credit
Principal reported negative consequences would occur if received 2 or more negative evaluations,Principal Interview,Principal reported negative consequences would occur if received 2 or more negative evaluations
Principal reported negative consequences would occur if received 2 or more negative evaluations,Principal Interview,Principal reported negative consequences would occur if received 2 or more negative evaluations
National Learning Goals,Public Official Interview,"Average of Targeting, Monitoring, Incentives, and Community Engagement components"
Targeting,Public Official Interview,"Questions on whether learning goals exist, are measurable, whether tasks aligned"
Monitorinig,Public Official Interview,"Questions on how well performance goals tracked, EMIS system, how info reviewed"
Incentives,Public Official Interview,"Are rewards given for high performance, rewards for excellence in contributing to learning goals, does information inform budgets"
Community Engagement,Public Official Interview,"Most common means of getting feedback from parents, is feedback used for evaluation/budgets"
Mandates and Accountability,Public Official Interview,"Average of coherence, transparency, accountability of public officials"
Coherence,Public Official Interview,Is organizational responsibilities clear
Transparency,Public Official Interview,"Are achievements related to performance targets made public, is transparency beneficial"
Accountability of Public Officials,Public Official Interview,What would happen to public officials in cases of malfeasance
Quality of Bureaucracy,Public Official Interview,"Average score of knowledge and skills, work environment, merit, movitation and attitudes"
Knowledge and Skills,Public Official Interview,"Public officials asked if they know numbers on average class size, teacher absences"
Work Environment,Public Official Interview,"Do employees trust one another, gifts to public officials, encouragement of new ideas"
Merit,Public Official Interview,How is selection and deployment done
Motivation and Attitudes,Public Official Interview,"How satisfied are public officials, how motivated, is it OK for teachers to be absent, ok for some students get less attention"
Motivation Relative to Starting Public Service,Public Official Interview,Motivation Relative to Starting Public Service
Impartial Decision Making,Public Official Interview,Impartial Decision Making
Politicized personnel management,Public Official Interview,Are hiring/promotion decisions/evaluations based on public influence
Politicized policy-making,Public Official Interview,"Are budget,procurement, curriculum decisions affected by politics?"
Politicized policy-implementation,Public Official Interview,"What proportion of public officials broken rules, are contracts/procuements subject to politics"
Employee unions as facilitators,Public Official Interview,"Does union membership affect teacher hiring, do public official union members get preferential treatment, are new practices influence by unions?"
